date,positive_count,positive_score,negative_count,negative_score,total_count,total_score
2023-08-01,33,0.658787875,52,0.212115385,85,0.385529411
2023-08-02,7,0.59428571,49,0.206530613,56,0.255
2023-08-03,18,0.625000003,41,0.18804878,59,0.321355933
2023-08-04,8,0.608750001,47,0.153191489,55,0.219454545
2023-08-05,1,0.680000007,9,0.227777775,10,0.272999998
2023-08-06,3,0.729999999,14,0.195000001,17,0.289411766
2023-08-07,11,0.641818182,53,0.209245283,64,0.28359375
2023-08-08,6,0.643333336,30,0.189666666,36,0.265277778
2023-08-09,11,0.649090897,13,0.299999998,24,0.459999994
2023-08-10,8,0.669999994,40,0.18,48,0.261666666
2023-08-11,2,0.650000006,15,0.232,17,0.281176472
2023-08-12,0,0,3,0.103333334,3,0.103333334
2023-08-13,1,0.709999979,6,0.208333337,7,0.28
2023-08-14,3,0.620000025,23,0.16347826,26,0.216153848
2023-08-15,0,0,12,0.113333334,12,0.113333334
2023-08-16,2,0.790000021,23,0.14826087,25,0.199600002
2023-08-17,12,0.640000001,26,0.264615386,38,0.383157896
2023-08-18,17,0.606470578,74,0.231621622,91,0.30164835
2023-08-19,1,0.569999993,2,0.370000005,3,0.436666667
2023-08-20,6,0.610000004,8,0.153749998,14,0.349285715
2023-08-21,7,0.617142856,24,0.292500001,31,0.365806452
2023-08-22,8,0.586250007,17,0.245294118,25,0.354400002
2023-08-23,14,0.659285711,26,0.22653846,40,0.377999998
2023-08-24,17,0.647647058,8,0.386250002,25,0.564
2023-08-25,4,0.707500011,15,0.179333333,19,0.290526318
2023-08-26,0,0,2,0.299999997,2,0.299999997
2023-08-27,2,0.655000001,1,0.140000001,3,0.483333334
2023-08-28,10,0.633000004,9,0.247777778,19,0.450526318
2023-08-29,8,0.592500001,22,0.220909092,30,0.320000001
2023-08-30,14,0.67142857,12,0.239166666,26,0.471923076
2023-08-31,10,0.629999995,10,0.243000004,20,0.436499999
2023-09-01,6,0.666666677,16,0.237499999,22,0.354545457
2023-09-02,0,0,2,0.324999988,2,0.324999988
2023-09-03,2,0.664999992,2,0.089999998,4,0.377499995
2023-09-04,12,0.562499995,15,0.283333333,27,0.407407405
2023-09-05,8,0.668750003,22,0.180909091,30,0.311000001
2023-09-06,6,0.733333319,22,0.206818182,28,0.319642854
2023-09-07,5,0.672000003,24,0.175416667,29,0.261034483
2023-09-08,1,0.75,11,0.19272727,12,0.239166665
2023-09-09,0,0,3,0.113333331,3,0.113333331
2023-09-10,3,0.679999987,6,0.196666667,9,0.357777774
2023-09-11,5,0.734000003,25,0.137599999,30,0.237
2023-09-12,9,0.653333326,41,0.130731707,50,0.224799998
2023-09-13,10,0.688,33,0.171515152,43,0.291627907
2023-09-14,7,0.589999999,14,0.247142854,21,0.361428569
2023-09-15,9,0.634444449,13,0.301538462,22,0.437727275
2023-09-16,0,0,3,0.186666661,3,0.186666661
2023-09-17,2,0.650000006,16,0.130625,18,0.188333334
2023-09-18,2,0.63499999,17,0.198235292,19,0.244210523
2023-09-19,5,0.683999991,17,0.207647061,22,0.31590909
2023-09-20,9,0.641111109,15,0.294000002,24,0.424166667
2023-09-21,6,0.688333333,10,0.151999998,16,0.353124999
2023-09-22,6,0.636666665,16,0.1875,22,0.31
2023-09-23,0,0,1,0.180000007,1,0.180000007
2023-09-24,2,0.579999983,6,0.28,8,0.354999996
2023-09-25,6,0.648333321,40,0.170500001,46,0.232826086
2023-09-26,11,0.659090898,31,0.20032258,42,0.320476187
2023-09-27,1,0.660000026,17,0.218235294,18,0.242777779
2023-09-28,0,0,2,0.305,2,0.305
2023-09-29,3,0.666666667,3,0.103333332,6,0.384999999
2023-09-30,2,0.694999993,0,0,2,0.694999993
2023-10-01,1,0.610000014,1,0.059999999,2,0.335000006
2023-10-02,1,0.550000012,5,0.285999997,6,0.33
2023-10-03,1,0.589999974,6,0.205000004,7,0.26
2023-10-04,2,0.544999987,37,0.145675676,39,0.166153846
2023-10-05,8,0.621249996,14,0.26642857,22,0.395454543
2023-10-06,5,0.646000004,13,0.256923074,18,0.364999999
2023-10-08,1,0.610000014,1,0.310000002,2,0.460000008
2023-10-09,4,0.625,7,0.247142861,11,0.384545457
2023-10-10,6,0.593333334,34,0.188823529,40,0.2495
2023-10-11,11,0.62999999,23,0.286086958,34,0.397352939
2023-10-12,11,0.650000009,19,0.255789473,30,0.400333336
2023-10-13,3,0.689999998,30,0.100666666,33,0.154242424
2023-10-15,4,0.625,7,0.254285716,11,0.38909091
2023-10-16,7,0.59999999,46,0.139130435,53,0.199999999
2023-10-17,10,0.642000002,26,0.203846153,36,0.325555555
2023-10-18,18,0.646111111,17,0.267647057,35,0.462285713
2023-10-19,8,0.628750004,29,0.230689655,37,0.316756757
2023-10-20,8,0.681250006,26,0.158076924,34,0.281176473
2023-10-21,0,0,2,0.385000005,2,0.385000005
2023-10-22,4,0.712499991,3,0.080000001,7,0.441428567
2023-10-23,4,0.690000013,30,0.139666666,34,0.204411766
2023-10-24,4,0.584999993,27,0.156666667,31,0.211935483
2023-10-25,3,0.599999984,26,0.155,29,0.201034481
2023-10-26,7,0.72142859,31,0.163225807,38,0.266052635
2023-10-27,4,0.697500005,14,0.220714283,18,0.326666666
2023-10-28,0,0,3,0.160000003,3,0.160000003
2023-10-29,1,0.769999981,6,0.179999999,7,0.264285711
2023-10-30,9,0.67777778,15,0.256666666,24,0.414583334
2023-10-31,10,0.684000003,38,0.169210526,48,0.276458334
2023-11-01,9,0.57444444,21,0.215714284,30,0.323333331
