date,positive_count,positive_score,negative_count,negative_score,total_count,total_score
2016-01-04,32,0.6412499994,5,0.2919999972,37,0.4883333374
2016-01-05,22,0.7118181749,1,0.3100000024,23,0.484210525
2016-01-06,32,0.7656249981,2,0.2399999937,34,0.756000018
2016-01-07,32,0.7209375016,21,0.2890476176,53,0.5033333202
2016-01-08,60,0.656499998,19,0.2400000008,79,0.5339999914
2016-01-09,2,0.7050000131,13,0.2569230806,15,0.6266666651
2016-01-10,5,0.7459999919,18,0.27,23,0.3843750046
2016-01-11,9,0.7011111114,91,0.2195604378,100,0.6025
2016-01-12,56,0.6592857114,10,0.1679999966,66,0.567222226
2016-01-13,13,0.693846157,9,0.175555558,22,0.6235714289
2016-01-14,17,0.603529411,49,0.2895918397,66,0.5741666555
2016-01-15,8,0.668750003,74,0.3201351341,82,0.6900000036
2016-01-17,10,0.6629999995,21,0.3557142835,31,0.6299999952
2016-01-18,10,0.6770000041,34,0.2688235296,44,0.6739999831
2016-01-19,23,0.6243478241,10,0.3159999996,33,0.368333331
2016-01-20,17,0.6876470587,6,0.3783333351,23,0.5833333333
2016-01-21,9,0.674444437,11,0.225454547,20,0.7092857083
2016-01-22,9,0.7211111122,16,0.2774999999,25,0.5016981123
2016-01-23,3,0.6400000056,19,0.2757894738,22,0.4931707284
2016-01-24,10,0.6790000081,14,0.2900000007,24,0.6186666664
2016-01-25,12,0.660833329,25,0.2940000015,37,0.558600001
2016-01-26,17,0.6835294085,4,0.2799999961,21,0.393178806
2016-01-27,23,0.6282608665,17,0.2335294126,40,0.2574999994
2016-01-28,96,0.603437497,14,0.2642857124,110,0.379285713
2016-01-29,7,0.6528571333,17,0.334117647,24,0.3534482784
2016-01-31,11,0.6890909022,166,0.3046987944,177,0.4662307674
2016-02-01,70,0.6064285721,44,0.21159091,114,0.485
2016-02-02,47,0.6414893587,3,0.1133333345,50,0.3803921568
2016-02-03,75,0.6174666611,2,0.3700000048,77,0.4727777789
2016-02-04,33,0.6360605937,124,0.3098387091,157,0.55625
2016-02-05,20,0.6820000082,81,0.3107407416,101,0.4404761932
2016-02-06,5,0.7599999905,64,0.2107812476,69,0.4820512808
2016-02-07,1,0.5699999928,57,0.3166666644,58,0.4702777778
2016-02-08,6,0.6066666742,21,0.3185714281,27,0.4404347801
2016-02-09,11,0.7663636262,7,0.2057142896,18,0.4070588249
2016-02-10,52,0.6707692307,25,0.3319999993,77,0.6400000056
2016-02-11,76,0.7165789392,25,0.2439999998,101,0.5650000047
2016-02-12,23,0.636086951,56,0.322678571,79,0.4103448263
2016-02-13,10,0.5299999714,53,0.3228301892,63,0.4941935458
2016-02-14,52,0.6623076946,34,0.306470587,86,0.5032499982
2016-02-15,75,0.6460000006,7,0.3228571372,82,0.4141603037
2016-02-16,111,0.7279279243,16,0.3593750028,127,0.2721568622
2016-02-17,189,0.665026455,136,0.2888235292,325,0.1133333345
2016-02-18,170,0.7086470611,61,0.2801639318,231,0.6399999949
2016-02-19,93,0.6304301088,158,0.3453797466,251,0.41685567
2016-02-20,2,0.625,43,0.3862790684,45,0.4321874994
2016-02-21,150,0.6840666684,37,0.3108108111,187,0.4302158233
2016-02-22,159,0.7023270423,9,0.1933333282,168,0.4337777718
2016-02-23,101,0.655940595,110,0.2612727275,211,0.4958536623
2016-02-24,128,0.698203119,95,0.2745263165,223,0.436666665
